ZIP,total,single,ratio
10001.0,53572,6244,0.11655342343
10002.0,58474,11459,0.19596743852
10003.0,76620,8638,0.112738188463
10004.0,26912,2013,0.0747993460166
10005.0,17562,1328,0.0756178111832
10006.0,3710,104,0.0280323450135
10007.0,26325,2914,0.11069325736
10009.0,53681,8880,0.16542165757
10010.0,69952,8466,0.121025846295
10011.0,76505,9746,0.127390366643
10012.0,55668,6375,0.114518215133
10013.0,47326,6074,0.128343827917
10014.0,75123,10935,0.145561279502
10016.0,72953,7985,0.109454032048
10017.0,48323,5383,0.111396229539
10018.0,23644,2951,0.124809676874
10019.0,79388,10331,0.130133017585
10020.0,16490,2766,0.167738023044
10021.0,67080,4878,0.0727191413238
10022.0,46780,4158,0.0888841385207
10023.0,84126,9593,0.114031333951
10024.0,75172,8787,0.116891927845
10025.0,83068,12615,0.151863533491
10026.0,44630,9384,0.210262155501
10027.0,62776,12962,0.20648018351
10028.0,56920,3198,0.0561841180604
10029.0,56602,13420,0.237094095615
10030.0,36036,7685,0.213258963259
10031.0,43271,11690,0.270157842435
10032.0,81369,21778,0.2676449262
10033.0,73025,17985,0.246285518658
10034.0,40085,9237,0.230435324935
10035.0,52445,12005,0.228906473448
10036.0,39079,4691,0.120038895571
10037.0,47775,9957,0.2084144427
10038.0,35226,5852,0.166127292341
10039.0,36643,8811,0.240455202904
10040.0,79071,17732,0.224254151332
10044.0,4501,556,0.123528104866
10065.0,37823,3334,0.0881474235254
10069.0,30339,3377,0.111308876364
10075.0,65634,4597,0.070039918335
10107.0,13860,705,0.0508658008658
10111.0,3110,374,0.120257234727
10128.0,46271,3859,0.0833999697435
10153.0,2519,318,0.126240571655
10280.0,6562,347,0.0528802194453
10281.0,3772,191,0.0506362672322
10282.0,16586,1648,0.0993609067889
10301.0,118854,14363,0.120845743517
10302.0,41427,8462,0.204262920318
10303.0,39309,9043,0.230049098171
10304.0,63606,8766,0.137817187058
10305.0,62978,7934,0.125980501127
10306.0,81238,8932,0.109948546247
10307.0,7260,816,0.112396694215
10308.0,29123,4431,0.152147786972
10309.0,24129,3047,0.126279580588
10310.0,58226,8044,0.138151341325
10312.0,56493,8313,0.147150974457
10314.0,99618,16079,0.161406573109
10451.0,83968,13799,0.164336413872
10452.0,78253,18107,0.231390489821
10453.0,73917,21657,0.292990786964
10454.0,49443,12085,0.24442287078
10455.0,92319,15281,0.16552388999
10456.0,153005,26124,0.170739518316
10457.0,98102,24359,0.248302786895
10458.0,48925,15102,0.308676545733
10459.0,100158,16811,0.167844805208
10460.0,87887,18372,0.20904115512
10461.0,65228,12820,0.196541362605
10462.0,92046,18593,0.201996827673
10463.0,103041,22202,0.21546762939
10464.0,7340,1147,0.156267029973
10465.0,85331,12203,0.14300781662
10466.0,68316,15664,0.229287429006
10467.0,60442,16975,0.280847754872
10468.0,80113,22571,0.281739542896
10469.0,63212,16600,0.2626083655
10470.0,16345,3588,0.219516671765
10471.0,42699,8818,0.206515375067
10472.0,92092,12618,0.137015158754
10473.0,68058,14035,0.206221164301
10474.0,13638,2345,0.171946033143
10475.0,24544,5286,0.215368318123
11001.0,5250,576,0.109714285714
11004.0,10292,970,0.0942479595803
11040.0,5138,469,0.091280653951
11101.0,138743,20337,0.146580368019
11102.0,87939,11481,0.130556408419
11103.0,134579,16191,0.120308517674
11104.0,62080,8247,0.132844716495
11105.0,57486,6515,0.11333194169
11106.0,108815,15317,0.140761843496
11109.0,4854,179,0.036876802637
11201.0,91625,12491,0.136327421555
11203.0,46470,13186,0.283752958898
11204.0,107740,20432,0.189641730091
11205.0,92717,17174,0.185230324536
11206.0,99193,22801,0.229865010636
11207.0,64903,21806,0.335978306088
11208.0,39460,11949,0.302812975165
11209.0,158541,17421,0.109883247866
11210.0,38121,8954,0.234883659925
11211.0,50087,6416,0.128097111027
11212.0,57443,20502,0.3569103285
11213.0,64102,16222,0.253065426976
11214.0,95138,20073,0.210988248649
11215.0,165089,18674,0.113114744168
11216.0,125391,30355,0.242082765111
11217.0,109441,15451,0.141181093009
11218.0,103868,16406,0.157950475604
11219.0,118941,22278,0.187302948521
11220.0,179245,21072,0.117559764568
11221.0,156055,39296,0.251808657204
11222.0,30595,3510,0.114724628207
11223.0,73237,15172,0.207163046001
11224.0,36426,9196,0.252457036183
11225.0,40922,8905,0.217609110014
11226.0,59365,16586,0.279390213089
11228.0,97753,16760,0.171452538541
11229.0,57596,8719,0.151382040419
11230.0,81990,15454,0.188486400781
11231.0,82368,12200,0.148115773116
11232.0,78983,12064,0.152741729233
11233.0,84596,24304,0.287294907561
11234.0,44077,9897,0.22453887515
11235.0,58273,9010,0.154617061075
11236.0,46210,14425,0.312161869725
11237.0,42682,10618,0.248769973291
11238.0,118278,20481,0.173159843758
11239.0,6387,1846,0.289024581181
11249.0,35386,4466,0.1262081049
11354.0,33078,4877,0.147439385694
11355.0,37764,6175,0.163515517424
11356.0,9228,1357,0.147052449068
11357.0,23524,2547,0.108272402653
11358.0,24033,2667,0.110972412932
11360.0,9910,886,0.089404641776
11361.0,18687,2079,0.111253812811
11362.0,8666,800,0.0923147934456
11363.0,3918,349,0.0890760592139
11364.0,18609,2114,0.113600945779
11365.0,23545,3509,0.149033765131
11366.0,16016,1846,0.11525974026
11367.0,21362,3915,0.183269356802
11368.0,87937,23899,0.271774111011
11369.0,41330,12032,0.291120251633
11370.0,35475,5618,0.158365045807
11372.0,130093,28247,0.217129284435
11373.0,63416,11101,0.175050460452
11374.0,31802,3621,0.113860763474
11375.0,42163,4617,0.109503593198
11377.0,161507,32050,0.198443411121
11378.0,45737,7298,0.159564466406
11379.0,21802,2813,0.129024860105
11385.0,59110,8839,0.149534765691
11411.0,23885,4127,0.172786267532
11412.0,42679,9861,0.231050399494
11413.0,39780,10869,0.27322775264
11414.0,18109,3805,0.210116516649
11415.0,61493,4857,0.0789845998732
11416.0,55150,6973,0.126436990027
11417.0,65650,9095,0.138537699924
11418.0,88601,10296,0.116206363359
11419.0,85019,10293,0.121067055599
11420.0,64306,12968,0.201660809256
11421.0,55295,12414,0.224504928113
11422.0,17813,4215,0.236624936844
11423.0,31429,5323,0.169365872284
11426.0,14524,1666,0.114706692371
11427.0,25061,3562,0.142133195004
11428.0,34919,5930,0.169821587102
11429.0,21786,4603,0.211282474984
11432.0,53190,9738,0.183079526227
11433.0,45284,9646,0.21301121809
11434.0,63859,15219,0.238321927998
11435.0,83907,17501,0.208576161703
11436.0,30011,8714,0.29036020126
11691.0,21628,6250,0.288977251711
11692.0,13820,4619,0.334225759768
11693.0,6352,1472,0.231738035264
11694.0,12677,2431,0.191764613079
